the_geom,cartodb_id,timestamp,long,lat,external_t,outlier_ma,sensor_typ,individual,tag_ident,ind_ident,study_name,date,time
0101000020E6100000185DBD0E05AC53C0618E1EBFB7E14140,24,2013-04-03 08:10:00+00,-78.68780869,35.76342,17.2222236,F,radio-transmitter,,Bruce,Bruce,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E61000000C58D53F06AC53C00B5EF415A4E14140,25,2013-04-16 07:45:00+00,-78.68788143,35.76282,26.6666688,F,radio-transmitter,,Bruce,Bruce,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000B13C40DE08AC53C0EF2076A6D0E14140,26,2013-05-24 14:45:00+00,-78.68804127,35.76418,21.61111284,F,radio-transmitter,,Bruce,Bruce,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E61000004AA84B8C06AC53C0D26F5F07CEE14140,27,2013-05-29 14:26:00+00,-78.68789966,35.7641,23.8888908,F,radio-transmitter,,Bruce,Bruce,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000043BFE0B04AC53C09DF4BEF1B5E14140,28,2013-08-16 14:38:00+00,-78.687747,35.763365,21.88889064,F,radio-transmitter,,Bruce,Bruce,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000F73E558506AC53C0DDE9CE13CFE14140,29,2013-09-24 16:13:00+00,-78.687898,35.764132,23.55555744,F,radio-transmitter,,Bruce,Bruce,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E610000006DA1D520CAC53C023C0E95DBCE14140,30,2013-09-25 18:50:00+00,-78.688252,35.763561,23.94444636,F,radio-transmitter,,Bruce,Bruce,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E61000007D2A9FCC9CAB53C0A88C7F9F71E14140,31,2013-09-25 17:32:00+00,-78.68144527,35.76128,21.16666836,F,radio-transmitter,,Hulk,Hulk,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000AF08FEB792AB53C04C7155D977E14140,32,2008-07-09 14:30:00+00,-78.68083,35.76147,26.00000208,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E610000088687407B1AB53C08CBE823463E14140,33,2008-07-18 14:35:00+00,-78.68268,35.76084,26.77777992,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000CFBD874B8EAB53C0DAC9E02879E14140,34,2008-07-25 17:00:00+00,-78.68056,35.76151,25.77777984,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000EB6E9EEA90AB53C068226C787AE14140,35,2008-07-31 16:25:00+00,-78.68072,35.76155,31.72222476,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E61000000B24287E8CAB53C08CDB68006FE14140,36,2008-08-06 14:42:00+00,-78.68045,35.7612,30.05555796,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000C47762D68BAB53C0DAACFA5C6DE14140,37,2008-08-11 18:42:00+00,-78.68041,35.76115,28.72222452,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000560E2DB29DAB53C036C8242367E14140,38,2008-08-29 15:15:00+00,-78.6815,35.76096,25.22222424,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000840D4FAF94AB53C0680586AC6EE14140,39,2008-09-04 14:55:00+00,-78.68095,35.76119,26.388891,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E610000032384A5E9DAB53C0FE65F7E461E14140,40,2008-09-09 16:30:00+00,-78.68148,35.7608,27.27777996,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000C173EFE192AB53C0D3A414747BE14140,41,2008-09-18 20:05:00+00,-78.68084,35.76158,27.55555776,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000C49448A297AB53C0AFCE31207BE14140,42,2008-10-06 19:50:00+00,-78.68113,35.76157,26.00000208,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000CBD6FA22A1AB53C0E8305F5E80E14140,43,2008-10-13 19:45:00+00,-78.68171,35.76173,25.72222428,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000168733BF9AAB53C0EF552B137EE14140,44,2008-10-22 19:15:00+00,-78.68132,35.76166,16.61111244,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000E88711C2A3AB53C0444C89247AE14140,45,2008-10-28 19:50:00+00,-78.68187,35.76154,14.1666678,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000FAF202ECA3AB53C028B8585183E14140,46,2008-11-05 19:57:00+00,-78.68188,35.76182,20.0000016,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000FAF202ECA3AB53C028B8585183E14140,47,2008-11-20 19:55:00+00,-78.68188,35.76182,17.83333476,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000FAF202ECA3AB53C028B8585183E14140,48,2008-12-08 19:40:00+00,-78.68188,35.76182,12.7777788,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E61000000484461895AB53C093A7A23478E14140,49,2009-05-08 14:15:00+00,-78.680975026,35.761480884,22.222224,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E610000021BB4FB191AB53C094E56D6A75E14140,50,2009-05-14 20:40:00+00,-78.680767372,35.761395744,25.000002,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000C08170D59AAB53C0F958BF6E18E14140,51,2009-06-10 16:45:00+00,-78.681325302,35.758558124,26.27777988,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000B9A8C5C9A5AB53C0A8CE4A2A38E14140,52,2009-06-18 16:39:00+00,-78.681993907,35.759526526,32.55555816,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E610000043DC675896AB53C0C8027A6F79E14140,53,2010-04-30 19:30:00+00,-78.681051351,35.761518416,27.2222244,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000912EE2ADA6AB53C06012061C84E14140,54,2010-05-09 19:43:00+00,-78.682048293,35.761844161,32.72222484,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E61000000A3779C792AB53C088F82E7575E14140,55,2010-05-20 15:48:00+00,-78.680833691,35.761397026,30.94444692,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E61000008E79E00D90AB53C0A67F6FF175E14140,56,2010-05-23 15:12:00+00,-78.680667371,35.761411838,31.00000248,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000CC56D8B8B0AB53C0E238A4DC33E14140,57,2010-05-26 16:50:00+00,-78.682661258,35.759395199,25.5555576,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E61000003BE7B1AAA1AB53C0C2B5548A0FE14140,58,2010-06-09 21:05:00+00,-78.681742357,35.758286754,28.83333564,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000BC63A423A8AB53C0FD70FAF444E14140,59,2010-06-15 19:28:00+00,-78.682137404,35.759916899,33.83333604,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E61000009D382D3695AB53C0B71F02A47CE14140,60,2010-06-29 19:28:00+00,-78.680982155,35.761616231,32.61111372,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E61000003860348493AB53C05F07A39974E14140,61,2010-07-30 14:57:00+00,-78.680878688,35.761370854,23.66666856,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E610000043289BE49AAB53C025399DBA6BE14140,62,2010-08-17 15:58:00+00,-78.681328918,35.761100127,30.50000244,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E610000018FEF7D38BAB53C0064E62826DE14140,63,2010-09-17 15:22:00+00,-78.680409424,35.761154459,27.61111332,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000B91B07088DAB53C01FD982FC71E14140,64,2010-10-02 17:52:00+00,-78.680482871,35.761291088,21.77777952,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000C25421888DAB53C01D0A9CF574E14140,65,2010-10-06 17:15:00+00,-78.680513413,35.761381818,19.55555712,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000D6E4DD1CA4AB53C0515120AC79E14140,66,2010-10-23 17:25:00+00,-78.681891648,35.761525646,21.88889064,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E61000009D95C10C9EAB53C0CB539AF072E14140,67,2010-11-03 19:16:00+00,-78.681521596,35.761320186,15.5555568,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000352CA1169EAB53C0675A744870E14140,68,2010-11-23 19:54:00+00,-78.68152395,35.761239106,23.50000188,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000F3CFF5458EAB53C095907FCE73E14140,69,2011-04-19 20:45:00+00,-78.680558672,35.761346638,29.77778016,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E61000007F6EDFD890AB53C096DC723F71E14140,70,2011-04-29 15:20:00+00,-78.680715769,35.76126855,21.27777948,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000AB92E94C91AB53C03A63D77777E14140,71,2011-08-08 14:12:00+00,-78.680743435,35.761458378,27.77778,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E610000046F6F7088BAB53C054CB5C3472E14140,72,2012-05-05 15:00:00+00,-78.680361025,35.761297746,26.6666688,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E610000053F40E5791AB53C026CE823781E14140,73,2012-07-20 13:05:00+00,-78.680745854,35.761755885,25.000002,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E61000004C2D68158EAB53C0185DD96374E14140,74,2012-07-27 16:03:00+00,-78.680547096,35.761364442,30.555558,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E610000007A6518394AB53C07D1768D77AE14140,75,2012-08-08 16:57:00+00,-78.680939512,35.761561323,26.16666876,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000BA52E36697AB53C0DFB23B8B7BE14140,76,2012-08-29 17:15:00+00,-78.681115839,35.76158276,28.6111134,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000D60084939DAB53C01B98E4997AE14140,77,2012-09-14 16:19:00+00,-78.68149269,35.76155399,25.44444648,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000DD1C44F19EAB53C062E147DC73E14140,78,2012-10-05 16:10:00+00,-78.681576077,35.761348281,22.44444624,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E610000088A82C84A1AB53C0A207394D71E14140,79,2012-10-19 14:55:00+00,-78.681733173,35.761270192,19.94444604,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000805F6565A2AB53C05ABBED4273E14140,80,2012-10-26 17:47:00+00,-78.68178687,35.76133,20.0000016,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000EB7ABB88A3AB53C0D3872EA86FE14140,81,2012-11-09 17:42:00+00,-78.68185633,35.76122,16.27777908,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000F73450AEA3AB53C0CC6262F371E14140,82,2012-11-21 17:00:00+00,-78.68186529,35.76129,12.94444548,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
0101000020E6100000A15068BCA1AB53C0680586AC6EE14140,83,2013-01-04 15:39:00+00,-78.68174658,35.76119,6.61111164,F,radio-transmitter,,Megan,Megan,"Eastern Box Turtle Tracking, NC Wildlife",2018-08-25,
